Palavra,Documentos
receptores,"[(187, 1)]"
atracamento,"[(187, 1)]"
primordial,"[(187, 1)]"
ofereci,"[(187, 1)]"
recebê,"[(187, 1), (201, 1)]"
perdida,"[(187, 1)]"
potável,"[(187, 1)]"
morreriam,"[(187, 1)]"
afogadas,"[(187, 1)]"
fugindo,"[(187, 1), (257, 1)]"
embarcação,"[(187, 1)]"
comoveu,"[(187, 1)]"
gravada,"[(187, 1)]"
pensei,"[(187, 1), (249, 2)]"
empatia,"[(187, 2)]"
desserviço,"[(187, 1)]"
convivência,"[(187, 1), (249, 1)]"
salvaram,"[(187, 1)]"
pensarem,"[(187, 1)]"
existiram,"[(187, 1)]"
existirão,"[(187, 1)]"
migrou,"[(187, 1)]"
acolhida,"[(187, 1)]"
dirigida,"[(187, 1)]"
generalitat,"[(187, 1)]"
oltra,"[(187, 1)]"
atenda,"[(187, 1), (218, 1)]"
opiniões,"[(187, 1), (264, 1)]"
observamos,"[(187, 1)]"
valenciano,"[(187, 1)]"
recepção,"[(187, 1), (245, 1)]"
barco,"[(187, 1)]"
recebi,"[(187, 1), (218, 1)]"
maravilhoso,"[(187, 1)]"
cidadãs,"[(187, 1)]"
considero,"[(187, 1), (220, 1)]"
estudantis,"[(187, 1)]"
une,"[(187, 1)]"
habitável,"[(187, 1)]"
divisor,"[(187, 1)]"
emergências,"[(187, 1)]"
motores,"[(187, 1)]"
tecer,"[(187, 1)]"
envelhecida,"[(187, 1)]"
receptor,"[(187, 1)]"
dinamização,"[(187, 1)]"
deveríamos,"[(187, 1)]"
cruzar,"[(188, 1)]"
caravanas,"[(188, 1)]"
transitam,"[(188, 1)]"
refúgio,"[(188, 1), (193, 1), (258, 1)]"
quebrando,"[(188, 1)]"
cercas,"[(188, 1)]"
suchiate,"[(188, 1)]"
respeitaram,"[(188, 2)]"
preciado,"[(188, 1)]"
instalou,"[(188, 1), (249, 1)]"
acampamento,"[(188, 1), (234, 1), (240, 2), (249, 1)]"
médica,"[(188, 1), (216, 1)]"
psicológica,"[(188, 1), (249, 1)]"
aulas,"[(188, 1), (224, 1), (266, 4)]"
ioga,"[(188, 1)]"
zumba,"[(188, 1)]"
bandas,"[(188, 1)]"
rock,"[(188, 1)]"
reconhecidas,"[(188, 1), (252, 1)]"
concerto,"[(188, 1)]"
reconstruídas,"[(188, 1)]"
estela,"[(188, 1)]"
ávila,"[(188, 1)]"
compartilharam,"[(188, 1)]"
expressões,"[(188, 1)]"
xenófobas,"[(188, 1)]"
mara,"[(188, 1)]"
salvatrucha,"[(188, 1)]"
gangues,"[(188, 1), (263, 1)]"
salvadorenhos,"[(188, 1)]"
vigilantes,"[(188, 1)]"
chiapas,"[(188, 1)]"
monitorando,"[(188, 1)]"
rené,"[(188, 1)]"
sop,"[(188, 1)]"
jesuíta,"[(188, 1)]"
universitária,"[(188, 1)]"
alejandra,"[(188, 1)]"
lozano,"[(188, 1)]"
escura,"[(188, 1)]"
pele,"[(188, 1)]"
avançada,"[(188, 1)]"
conapred,"[(188, 1)]"
pigmentocracia,"[(188, 1)]"
prosperidade,"[(188, 1), (220, 1)]"
bondade,"[(188, 1)]"
guillermo,"[(188, 1)]"
alfaro,"[(188, 2)]"
ibero,"[(188, 1)]"
carl,"[(189, 1)]"
afpquatro,"[(189, 1)]"
interrompida,"[(190, 1)]"
materialidade,"[(190, 1)]"
robustos,"[(190, 1)]"
andrea,"[(190, 2)]"
rachel,"[(190, 1), (217, 1)]"
arresto,"[(190, 1)]"
concederam,"[(190, 1)]"
evadir,"[(190, 1)]"
ressarcimento,"[(190, 1)]"
sustentaram,"[(190, 1)]"
arbitrário,"[(190, 1)]"
suposições,"[(190, 1)]"
comprovados,"[(190, 1)]"
perícias,"[(190, 1)]"
existir,"[(190, 1), (253, 1), (277, 1)]"
autorize,"[(190, 1)]"
dissipando,"[(190, 1)]"
toron,"[(190, 1)]"
dissipação,"[(190, 1)]"
nan,"[(191, 1)]"
apropriado,"[(192, 1), (267, 1)]"
antecipadamente,"[(192, 1), (246, 1)]"
devolvida,"[(192, 1)]"
peticionante,"[(192, 2)]"
intensificar,"[(192, 1), (266, 1), (272, 2)]"
multiplicação,"[(192, 1)]"
valendo,"[(192, 1), (195, 1)]"
designar,"[(192, 2)]"
assistentes,"[(192, 1)]"
gerenciamento,"[(192, 1)]"
recebia,"[(192, 2)]"
detalhou,"[(192, 1), (240, 1)]"
ocorriam,"[(192, 1), (242, 1)]"
contratações,"[(192, 1)]"
conseguia,"[(192, 1), (220, 1), (263, 1)]"
expandindo,"[(192, 1), (247, 1)]"
respondido,"[(192, 1)]"
convites,"[(192, 1)]"
agostinho,"[(192, 1)]"
depositava,"[(192, 1)]"
terços,"[(192, 1), (200, 1), (242, 1), (263, 1)]"
detectou,"[(192, 1), (227, 1)]"
atípicas,"[(192, 1)]"
atuado,"[(192, 1), (233, 1)]"
regulares,"[(192, 1), (263, 1)]"
michele,"[(192, 1)]"
pedágio,"[(192, 1)]"
rachadinha,"[(192, 1)]"
guardava,"[(192, 1)]"
entregava,"[(192, 2)]"
amistosa,"[(192, 1)]"
comprovantes,"[(192, 1)]"
regularmente,"[(192, 1)]"
carente,"[(192, 1)]"
prestado,"[(192, 1)]"
evocar,"[(192, 1)]"
revenda,"[(192, 1)]"
leque,"[(192, 1), (245, 1)]"
supostos,"[(192, 1), (207, 1)]"
intermediação,"[(192, 1)]"
paralelos,"[(192, 1)]"
administrar,"[(192, 1)]"
pronunciar,"[(192, 1), (207, 1)]"
descrito,"[(193, 1), (203, 1)]"
jacinda,"[(193, 1), (198, 1), (216, 1)]"
ardern,"[(193, 4), (198, 3), (203, 2), (216, 1)]"
televisiva,"[(193, 1)]"
interrogados,"[(193, 1)]"
salientou,"[(193, 1)]"
radar,"[(193, 1)]"
ativado,"[(193, 1)]"
transmitiu,"[(193, 1), (203, 1)]"
mesquitas,"[(193, 6), (198, 1), (203, 1)]"
christchurch,"[(193, 4), (197, 1), (198, 1), (203, 3)]"
invasores,"[(193, 3), (210, 1)]"
noor,"[(193, 2), (198, 1), (203, 2)]"
subúrbio,"[(193, 1)]"
linwood,"[(193, 2), (203, 1)]"
repletas,"[(193, 1)]"
jumu,"[(193, 1)]"
comunicaram,"[(193, 1)]"
tiroteios,"[(193, 1), (247, 1)]"
odeiam,"[(193, 1)]"
condenamos,"[(193, 2)]"
representamos,"[(193, 1)]"
compaixão,"[(193, 1)]"
rejeitamos,"[(193, 1)]"
perfil,"[(193, 1), (197, 2), (206, 1), (219, 1), (252, 1), (266, 1)]"
gravadas,"[(193, 1)]"
mesquita,"[(193, 8), (197, 1), (198, 1), (201, 1), (203, 3), (207, 1), (215, 1)]"
aleatoriamente,"[(193, 1)]"
pedestres,"[(193, 1)]"
gritos,"[(193, 1), (266, 2)]"
pegar,"[(193, 1), (215, 1), (263, 1)]"
retorna,"[(193, 2), (235, 1)]"
deitados,"[(193, 1)]"
cortada,"[(193, 1)]"
loiro,"[(193, 1)]"
usava,"[(193, 1), (203, 1), (225, 1)]"
capacete,"[(193, 1), (203, 1)]"
ajoelhavam,"[(193, 1)]"
orar,"[(193, 1), (217, 1)]"
ahmad,"[(193, 1), (215, 1)]"
mahmoud,"[(193, 1)]"
vidro,"[(193, 1)]"
críquete,"[(193, 1)]"
bangladesh,"[(193, 2)]"
orações,"[(193, 1)]"
treinador,"[(193, 1)]"
bush,"[(193, 1), (232, 1)]"
morrison,"[(193, 1)]"
detido,"[(193, 1), (215, 2), (229, 1), (262, 1)]"
detida,"[(193, 1)]"
desativou,"[(193, 1)]"
artefatos,"[(193, 1)]"
improvisados,"[(193, 1)]"
recomendaram,"[(193, 1)]"
permaneçam,"[(193, 1)]"
auckland,"[(193, 1)]"
bengaleses,"[(193, 1)]"
ferimentos,"[(193, 1)]"
plataformas,"[(193, 1), (197, 3), (215, 1), (254, 1)]"
nima,"[(193, 1)]"
chan,"[(193, 1), (197, 1)]"
gama,"[(193, 1)]"
links,"[(193, 1)]"
tipicamente,"[(193, 1), (202, 1), (272, 1)]"
minoritárias,"[(193, 1), (202, 1), (218, 1), (224, 1)]"
mostraria,"[(193, 1)]"
remotas,"[(193, 1)]"
brenton,"[(193, 1), (197, 1), (202, 1), (203, 1)]"
tarrant,"[(193, 1), (197, 8), (202, 1), (203, 4), (210, 2)]"
brentontarrant,"[(193, 1)]"
postadas,"[(193, 1)]"
decorados,"[(193, 1)]"
proporções,"[(193, 1), (220, 1)]"
raros,"[(193, 1)]"
armamentistas,"[(193, 1)]"
restringir,"[(193, 1), (218, 1)]"
semiautomáticos,"[(193, 1), (198, 1)]"
aramoana,"[(193, 1)]"
padrão,"[(193, 1), (249, 2)]"
completar,"[(193, 1)]"
supervisão,"[(193, 1)]"
crescendo,"[(195, 1)]"
safar,"[(195, 1)]"
patriarca,"[(195, 1)]"
garoto,"[(195, 1), (199, 2)]"
beirar,"[(195, 1)]"
pisar,"[(195, 1)]"
acelerador,"[(195, 1)]"
suspendendo,"[(195, 1), (271, 1)]"
acerca,"[(195, 1), (217, 1)]"
nebulosa,"[(195, 1)]"
colhidas,"[(195, 1)]"
autos,"[(195, 1), (201, 1), (258, 1)]"
calou,"[(195, 1)]"
tagarelice,"[(195, 1)]"
chapas,"[(195, 1)]"
brancas,"[(195, 1)]"
despontar,"[(195, 1)]"
parou,"[(195, 1), (269, 1)]"
hobbies,"[(195, 1)]"
qualificou,"[(195, 1)]"
esterco,"[(195, 1)]"
vagabundagem,"[(195, 2)]"
adubo,"[(195, 1)]"
midiática,"[(195, 1)]"
sin,"[(195, 1)]"
bandidos,"[(195, 1)]"
cabeludas,"[(195, 1)]"
caem,"[(195, 1)]"
ombros,"[(195, 1)]"
regência,"[(195, 1)]"
bruxo,"[(195, 1)]"
neoconstitucionalismo,"[(195, 1)]"
sepultou,"[(195, 1), (219, 1)]"
saciar,"[(195, 1)]"
horda,"[(195, 1)]"
ensandecida,"[(195, 1)]"
prematuramente,"[(195, 1)]"
daniela,"[(195, 1)]"
assumpção,"[(195, 1)]"
agredida,"[(195, 1)]"
batalhão,"[(195, 1), (253, 1)]"
benfica,"[(195, 1)]"
detentos,"[(195, 1)]"
impediram,"[(195, 1)]"
fizesse,"[(195, 1)]"
galerias,"[(195, 1)]"
agredindo,"[(195, 1), (249, 1)]"
rasgarem,"[(195, 1)]"
solidário,"[(195, 1), (200, 1)]"
defendê,"[(195, 1), (249, 1)]"
provando,"[(195, 1)]"
detratam,"[(195, 1)]"
abraçar,"[(195, 1)]"
fortíssimos,"[(195, 1)]"
maracutaias,"[(195, 1)]"
afetivo,"[(195, 1)]"
instâncias,"[(195, 1), (220, 2), (234, 1), (235, 1), (236, 2), (246, 1), (265, 1)]"
corresse,"[(195, 1)]"
preestabelecidas,"[(195, 1)]"
surpresas,"[(195, 1)]"
sustos,"[(195, 1), (271, 1)]"
criadas,"[(195, 1)]"
sabor,"[(195, 1)]"
oscilações,"[(195, 1)]"
humor,"[(195, 1), (249, 1)]"
enuncia,"[(195, 1)]"
incisos,"[(195, 1)]"
liv,"[(195, 1)]"
lvii,"[(195, 1), (271, 1), (275, 1)]"
firulas,"[(195, 1), (265, 1)]"
interpretativas,"[(195, 1)]"
decidirem,"[(195, 1)]"
moradia,"[(195, 1), (219, 1), (271, 1)]"
etc,"[(195, 1), (206, 1)]"
vergonhosa,"[(195, 1)]"
ingênuo,"[(195, 1)]"
chauí,"[(195, 1), (218, 1)]"
patrimonial,"[(195, 1)]"
pornográfica,"[(195, 1)]"
concretização,"[(195, 1)]"
agigantamento,"[(195, 1)]"
dominados,"[(195, 1)]"
dominantes,"[(195, 1)]"
restringem,"[(195, 1)]"
invalidar,"[(195, 1)]"
amplitude,"[(195, 1)]"
civilização,"[(195, 1), (209, 1)]"
ativo,"[(195, 1)]"
conveniente,"[(195, 1), (271, 1)]"
reproduzindo,"[(195, 1)]"
sensos,"[(195, 1)]"
procurando,"[(195, 1), (266, 1)]"
álibis,"[(195, 1)]"
conspiratórios,"[(195, 1)]"
moldes,"[(195, 1)]"
delírios,"[(195, 1)]"
olavianos,"[(195, 1)]"
prato,"[(195, 1)]"
cuspiu,"[(195, 1)]"
argélia,"[(196, 1)]"
armênia,"[(196, 1)]"
marfim,"[(196, 1)]"
egito,"[(196, 1), (232, 1)]"
timor,"[(196, 1)]"
zâmbia,"[(196, 1)]"
ranking,"[(196, 1), (266, 2)]"
colocação,"[(196, 1)]"
brandão,"[(196, 3)]"
piora,"[(196, 1)]"
influenciado,"[(196, 1), (202, 1)]"
inércia,"[(196, 1)]"
anticorrupção,"[(196, 1), (220, 1), (225, 1)]"
renitentes,"[(196, 1)]"
impunidade,"[(196, 1)]"
indulto,"[(196, 2)]"
beneficiar,"[(196, 1)]"
barrou,"[(196, 1)]"
cruzou,"[(196, 1)]"
levantamentos,"[(196, 1), (219, 1)]"
coletadas,"[(196, 1)]"
influencia,"[(196, 1)]"
imune,"[(196, 1)]"
falha,"[(196, 1)]"
classificada,"[(196, 1)]"
autocratização,"[(196, 1)]"
tendem,"[(196, 1)]"
piorando,"[(196, 1)]"
punição,"[(196, 1), (217, 1), (224, 1), (266, 1)]"
conseguirão,"[(196, 1)]"
sozinha,"[(196, 1), (266, 1)]"
legislativas,"[(196, 2), (247, 1)]"
getulio,"[(196, 1)]"
comprometerem,"[(196, 1)]"
combatam,"[(196, 1)]"
regulatórias,"[(196, 1)]"
facilitam,"[(196, 1)]"
sugestões,"[(196, 1)]"
comprometeram,"[(196, 1)]"
votadas,"[(196, 1)]"
online,"[(197, 6), (198, 1)]"
propagam,"[(197, 1)]"
extremismo,"[(197, 2)]"
virtual,"[(197, 3), (228, 1)]"
universo,"[(197, 1)]"
dark,"[(197, 1)]"
web,"[(197, 1)]"
obscura,"[(197, 1)]"
intencionalmente,"[(197, 1), (255, 1)]"
escondidas,"[(197, 1)]"
rastreáveis,"[(197, 1)]"
acessadas,"[(197, 1)]"
navegador,"[(197, 2)]"
noticiado,"[(197, 1)]"
chans,"[(197, 1)]"
fóruns,"[(197, 2)]"
nimas,"[(197, 1)]"
acessíveis,"[(197, 1)]"
mascara,"[(197, 1)]"
ofensivos,"[(197, 1)]"
removido,"[(197, 1)]"
circulando,"[(197, 1), (215, 1)]"
suicidar,"[(197, 1)]"
isla,"[(197, 1)]"
califórnia,"[(197, 1), (218, 1), (247, 1), (248, 1), (255, 1)]"
eliott,"[(197, 1)]"
rodger,"[(197, 2)]"
repleto,"[(197, 2), (202, 1), (203, 1), (263, 1)]"
incels,"[(197, 1)]"
celibatos,"[(197, 1)]"
involuntários,"[(197, 1)]"
robert,"[(197, 1)]"
bowers,"[(197, 1)]"
sinagoga,"[(197, 1)]"
pittsburgh,"[(197, 1)]"
gab,"[(197, 1)]"
supremacistas,"[(197, 1), (210, 1)]"
proliferação,"[(197, 1)]"
ideais,"[(197, 1)]"
byman,"[(197, 3)]"
brookings,"[(197, 1)]"
achando,"[(197, 1)]"
costumava,"[(197, 1), (225, 1)]"
reunindo,"[(197, 1)]"
propagar,"[(197, 1)]"
instantaneamente,"[(197, 1)]"
hesitassem,"[(197, 1)]"
inofensivos,"[(197, 1)]"
compartilhamento,"[(197, 1)]"
encorajamento,"[(197, 1), (250, 1)]"
substituídos,"[(197, 1), (202, 1), (203, 1)]"
neonazista,"[(197, 1), (202, 1)]"
motivaram,"[(197, 1), (202, 1)]"
mencionado,"[(197, 1), (202, 1), (203, 1), (275, 1)]"
norueguês,"[(197, 1), (202, 1)]"
anders,"[(197, 1), (202, 1)]"
behring,"[(197, 1), (202, 1)]"
breivik,"[(197, 1), (202, 1), (210, 1)]"
motivado,"[(197, 1), (202, 1)]"
multiculturalismo,"[(197, 1), (202, 1)]"
abordar,"[(197, 1)]"
aprendeu,"[(197, 1)]"
literatura,"[(197, 1)]"
spyro,"[(197, 1)]"
dragon,"[(197, 1)]"
ensinou,"[(197, 1)]"
etnonacionalismo,"[(197, 1)]"
escreve,"[(197, 1), (202, 1), (267, 1)]"
sarcástica,"[(197, 1)]"
playstation,"[(197, 1)]"
fortnite,"[(197, 1)]"
game,"[(197, 1), (215, 1)]"
treinado,"[(197, 1)]"
mary,"[(197, 1)]"
franks,"[(197, 1)]"
miami,"[(197, 1)]"
cyber,"[(197, 1)]"
rights,"[(197, 1), (217, 1), (266, 1)]"
initiative,"[(197, 1)]"
envolvida,"[(197, 1), (218, 1)]"
radicalizada,"[(197, 1)]"
chats,"[(197, 1)]"
memes,"[(197, 1)]"
nestes,"[(197, 1)]"
neozelandesa,"[(197, 1), (203, 1)]"
lembrem,"[(197, 1)]"
pewdiepie,"[(197, 1)]"
alusão,"[(197, 1)]"
felix,"[(197, 1), (251, 1)]"
kjelberg,"[(197, 2)]"
youtuber,"[(197, 1), (237, 1)]"
controvérsia,"[(197, 1)]"
permeia,"[(197, 1)]"
acontecimentos,"[(197, 1), (270, 1)]"
façam,"[(197, 1), (224, 1), (235, 1), (258, 1)]"
upload,"[(197, 1)]"
conteúdos,"[(197, 1)]"
difusão,"[(197, 1)]"
removendo,"[(197, 1)]"
demoraram,"[(197, 1)]"
banidos,"[(198, 1), (217, 1)]"
carregadores,"[(198, 1)]"
semiautomático,"[(198, 1), (203, 1)]"
proibir,"[(198, 2), (233, 1), (276, 1)]"
semiautomáticas,"[(198, 2), (203, 3)]"
resumo,"[(198, 1), (206, 1)]"
proibidas,"[(198, 2), (203, 1), (248, 1), (265, 1)]"
contém,"[(198, 1), (257, 2)]"
rigidamente,"[(198, 1)]"
monitoradas,"[(198, 1)]"
governante,"[(198, 1)]"
fazendeiros,"[(198, 1), (205, 1)]"
abatem,"[(198, 1)]"
gado,"[(198, 1), (224, 1)]"
competições,"[(198, 1)]"
pragas,"[(198, 1)]"
west,"[(198, 1)]"
devolvidas,"[(198, 1)]"
fabricantes,"[(198, 1)]"
voltem,"[(198, 1), (254, 1)]"
adquiriu,"[(198, 1)]"
aumentada,"[(198, 1)]"
happened,"[(198, 1)]"
extraordinary,"[(198, 1)]"
act,"[(198, 1)]"
unprecedented,"[(198, 1)]"
violence,"[(198, 1)]"
place,"[(198, 1)]"
zealand,"[(198, 2), (216, 1)]"
many,"[(198, 1)]"
those,"[(198, 1)]"
affected,"[(198, 1)]"
will,"[(198, 1)]"
members,"[(198, 1)]"
migrant,"[(198, 1)]"
communities,"[(198, 1)]"
their,"[(198, 1)]"
home,"[(198, 1)]"
they,"[(198, 1)]"
are,"[(198, 1)]"
jacindaardern,"[(198, 1)]"
desnecessários,"[(198, 1)]"
anistiar,"[(198, 1)]"
recompra,"[(198, 1)]"
neozelandeses,"[(198, 1), (216, 1)]"
hospitalizados,"[(198, 1)]"
imã,"[(198, 1)]"
gamal,"[(198, 1)]"
fouda,"[(198, 1)]"
compareçam,"[(198, 1)]"
parque,"[(198, 1), (266, 1)]"
estabelecimento,"[(199, 1)]"
aconteciam,"[(199, 1)]"
goiânia,"[(199, 2)]"
goyases,"[(199, 2)]"
aluno,"[(199, 6), (218, 2)]"
paraplégica,"[(199, 2)]"
realengo,"[(199, 3)]"
relembre,"[(199, 1)]"
sigma,"[(199, 1)]"
orla,"[(199, 1)]"
flagrante,"[(199, 1), (215, 1), (246, 1), (275, 1)]"
encarregada,"[(199, 1), (248, 1)]"
pertencia,"[(199, 1)]"
perito,"[(199, 1)]"
taiúva,"[(199, 1)]"
benedito,"[(199, 1), (258, 1)]"
ortiz,"[(199, 1)]"
edmar,"[(199, 1)]"
aparecido,"[(199, 1)]"
invadiu,"[(199, 1)]"
paraplégico,"[(199, 1)]"
realizados,"[(199, 1), (207, 1)]"
tasso,"[(199, 1)]"
silveira,"[(199, 1)]"
menezes,"[(199, 1)]"
lotadas,"[(199, 1)]"
vitimando,"[(199, 1)]"
suicidou,"[(199, 1)]"
piauí,"[(199, 1)]"
extremo,"[(199, 1)]"
caetano,"[(199, 1)]"
rosileide,"[(199, 1)]"
queiros,"[(199, 1)]"
alcina,"[(199, 1)]"
dantas,"[(199, 1), (251, 1)]"
feijão,"[(199, 1), (224, 1), (230, 1)]"
alunas,"[(199, 1)]"
paraíba,"[(199, 1), (240, 1)]"
mandacaru,"[(199, 1)]"
barriga,"[(199, 1)]"
estudante,"[(199, 2), (254, 1)]"
violeta,"[(199, 1)]"
formiga,"[(199, 1)]"
vingar,"[(199, 1), (214, 1)]"
praticado,"[(199, 1)]"
executou,"[(199, 1)]"
morticínio,"[(199, 1)]"
columbine,"[(199, 1)]"
octogenários,"[(200, 1)]"
enviará,"[(200, 1)]"
complementa,"[(200, 1), (236, 1)]"
torná,"[(200, 1)]"
absoluto,"[(200, 1)]"
rogerio,"[(200, 1)]"
poupado,"[(200, 1)]"
gerenciaria,"[(200, 1)]"
viabilidade,"[(200, 1)]"
administra,"[(200, 1)]"
meros,"[(200, 1)]"
guardadores,"[(200, 1)]"
epicentro,"[(201, 1), (232, 1)]"
poderio,"[(201, 1), (272, 2)]"
portuário,"[(201, 3)]"
portuária,"[(201, 1), (207, 1)]"
remonta,"[(201, 1)]"
intermediários,"[(201, 1)]"
constituído,"[(201, 1), (246, 1)]"
recebesse,"[(201, 1)]"
paguem,"[(201, 1), (264, 1)]"
instaurado,"[(201, 1)]"
edição,"[(201, 2), (207, 4)]"
rodrimar,"[(201, 4), (207, 4)]"
argeplan,"[(201, 1)]"
eliland,"[(201, 1)]"
pda,"[(201, 2)]"
arquitet,"[(201, 1), (234, 2)]"
conrado,"[(201, 1), (207, 1)]"
grecco,"[(201, 1), (207, 2)]"
loures,"[(201, 1), (207, 3)]"
flagrado,"[(201, 1), (207, 1)]"
carregando,"[(201, 1)]"
corpção,"[(201, 1)]"
basearam,"[(201, 1)]"
recesso,"[(201, 1)]"
retomados,"[(201, 1)]"
estudará,"[(201, 1)]"
provará,"[(201, 2)]"
afastados,"[(201, 2), (233, 1)]"
esclarece,"[(201, 1), (241, 1)]"
indiciados,"[(201, 1), (207, 2)]"
isenção,"[(201, 1)]"
tramitando,"[(201, 1)]"
pautando,"[(201, 1)]"
elevados,"[(201, 1), (269, 1)]"
fraturado,"[(202, 1)]"
separam,"[(202, 1)]"
segregam,"[(202, 1)]"
autodescreve,"[(202, 1)]"
etnonacionalista,"[(202, 1)]"
renovada,"[(202, 1)]"
planejou,"[(202, 1)]"
surgido,"[(202, 1)]"
chocado,"[(202, 1), (253, 1)]"
pertencer,"[(202, 1), (261, 1)]"
jogos,"[(202, 1), (272, 1)]"
videogame,"[(202, 1), (249, 2)]"
treinar,"[(202, 1)]"
renaud,"[(202, 1)]"
camus,"[(202, 3)]"
plágio,"[(202, 1)]"
agravamento,"[(202, 1)]"
incitar,"[(202, 1), (210, 1)]"
compradas,"[(203, 1)]"
modificadas,"[(203, 1)]"
tornarem,"[(203, 1)]"
mortais,"[(203, 1)]"
avaliada,"[(203, 1)]"
permanecesse,"[(203, 1)]"
câmera,"[(203, 1)]"
presa,"[(203, 1), (218, 2), (242, 1), (249, 1)]"
dunedin,"[(203, 1)]"
ilha,"[(203, 1), (216, 1), (273, 1)]"
bruce,"[(203, 1)]"
rofle,"[(203, 1)]"
club,"[(203, 1)]"
praticava,"[(203, 1)]"
frequência,"[(203, 1), (245, 1)]"
semiautomática,"[(203, 1)]"
zelânia,"[(203, 1)]"
chris,"[(203, 1)]"
cahill,"[(203, 1)]"
vizinha,"[(203, 1), (218, 1)]"
port,"[(203, 1)]"
arthur,"[(203, 1)]"
contiveram,"[(203, 1)]"
dezoito,"[(204, 1)]"
reverteram,"[(204, 1)]"
administrativos,"[(204, 1)]"
poupanças,"[(204, 1)]"
obrigatórias,"[(204, 1)]"
rentabilidade,"[(204, 1), (245, 1)]"
diminuição,"[(204, 1)]"
interrompe,"[(204, 1)]"
gravidez,"[(204, 1), (217, 1), (218, 1)]"
saldo,"[(204, 1)]"
idosas,"[(204, 1), (206, 1)]"
cento,"[(204, 3)]"
pol,"[(204, 1)]"
administradores,"[(204, 1)]"
detêm,"[(204, 1)]"
oit,"[(204, 1)]"
sustentabilidade,"[(204, 1)]"
prestações,"[(204, 1)]"
garantidas,"[(204, 1)]"
solidários,"[(204, 1)]"
contributivos,"[(204, 1)]"
recomendado,"[(204, 1)]"
cobram,"[(205, 1)]"
viktor,"[(205, 2)]"
orbán,"[(205, 4)]"
revogue,"[(205, 1)]"
possibilita,"[(205, 1)]"
extras,"[(205, 2)]"
mobilizam,"[(205, 1)]"
tumultos,"[(205, 1), (231, 1)]"
começado,"[(205, 1), (267, 1)]"
pacíficas,"[(205, 1)]"
permaneceram,"[(205, 1)]"
pacíficos,"[(205, 1)]"
ápice,"[(205, 1)]"
clamores,"[(205, 1)]"
perderam,"[(205, 1), (220, 1), (232, 1), (255, 1)]"
reforçadas,"[(205, 1)]"
descontentamento,"[(205, 2), (252, 1)]"
maced,"[(205, 1)]"
nikola,"[(205, 1)]"
gruevski,"[(205, 1)]"
belgrado,"[(205, 2)]"
sérvia,"[(205, 2)]"
milosevic,"[(205, 1)]"
desabafo,"[(205, 1)]"
apitos,"[(205, 1)]"
buzinas,"[(205, 1)]"
estopim,"[(205, 1)]"
esquerdista,"[(205, 2)]"
sérvio,"[(205, 1)]"
borko,"[(205, 1)]"
stefanovic,"[(205, 1)]"
camisas,"[(205, 1)]"
pretas,"[(205, 1)]"
espancaram,"[(205, 1)]"
feriram,"[(205, 1)]"
krusevac,"[(205, 1)]"
aleksandar,"[(205, 1)]"
vucic,"[(205, 2)]"
capturados,"[(205, 1), (237, 1)]"
albânia,"[(205, 2)]"
protestando,"[(205, 1)]"
anuidades,"[(205, 1)]"
bálcãs,"[(205, 1)]"
tirana,"[(205, 2)]"
albanesas,"[(205, 1)]"
generalizada,"[(205, 2)]"
edi,"[(205, 1)]"
rama,"[(205, 1)]"
dinamismo,"[(205, 2)]"
estrasburgo,"[(205, 1)]"
orçamentárias,"[(205, 1)]"
fósseis,"[(205, 1)]"
direcionamentos,"[(205, 1)]"
divergirem,"[(205, 1)]"
supor,"[(205, 1), (219, 1)]"
simbolismo,"[(205, 1)]"
espalhar,"[(205, 1)]"
sabrina,"[(205, 1), (237, 1)]"
zajak,"[(205, 2)]"
naturalmente,"[(205, 1)]"
espalharam,"[(205, 1)]"
presenças,"[(205, 1)]"
ocasionais,"[(205, 1)]"
aufstehen,"[(205, 1)]"
levantar,"[(205, 1), (218, 1), (271, 1)]"
sahra,"[(205, 1)]"
wagenknecht,"[(205, 1)]"
metrópole,"[(205, 1), (224, 1)]"
dirigiram,"[(205, 1)]"
sobrevivência,"[(205, 1)]"
pescadores,"[(205, 1)]"
sociólogo,"[(205, 1)]"
dieter,"[(205, 1)]"
rucht,"[(205, 1)]"
zdf,"[(205, 1)]"
crescentes,"[(205, 1)]"
inquietação,"[(205, 1)]"
sueca,"[(205, 1)]"
greta,"[(205, 1)]"
thunberg,"[(205, 1)]"
cop,"[(205, 1)]"
katowice,"[(205, 1)]"
escolares,"[(205, 1)]"
hamburgo,"[(205, 1)]"
kiel,"[(205, 1)]"
ttingen,"[(205, 1)]"
tecnológico,"[(206, 2)]"
aumentado,"[(206, 1), (265, 1)]"
produtividade,"[(206, 11)]"
produtivo,"[(206, 1), (232, 1), (245, 2)]"
robótica,"[(206, 1)]"
consideramos,"[(206, 1), (215, 1)]"
haveríamos,"[(206, 1)]"
produza,"[(206, 1)]"
verdadeiramente,"[(206, 1), (275, 1)]"
intertemporal,"[(206, 1)]"
enganosa,"[(206, 1)]"
épocas,"[(206, 1)]"
deflacionar,"[(206, 1)]"
acumulados,"[(206, 1)]"
gráfico,"[(206, 1)]"
ajusta,"[(206, 1)]"
cálculo,"[(206, 1)]"
utilizei,"[(206, 2)]"
estimaram,"[(206, 1)]"
calculei,"[(206, 1)]"
trimestrais,"[(206, 1)]"
pnad,"[(206, 1)]"
