Palavra,Documentos
números,"[(1, 1), (4, 1), (7, 1), (103, 1), (183, 1), (206, 1), (219, 1), (224, 1), (240, 1), (266, 1)]"
utilizadas,"[(1, 1), (198, 2), (254, 1)]"
pesquisas,"[(1, 2), (7, 1), (27, 1), (30, 1), (32, 1), (63, 1), (84, 1), (96, 1), (112, 1), (114, 2), (118, 3), (119, 1), (164, 5), (179, 1), (196, 1), (219, 2), (246, 1), (265, 1)]"
órgãos,"[(1, 1), (10, 1), (82, 1), (95, 2), (102, 1), (103, 1), (177, 2), (227, 1), (236, 2)]"
internacionais,"[(1, 2), (5, 1), (10, 1), (15, 1), (19, 1), (24, 1), (26, 1), (28, 1), (29, 1), (34, 1), (68, 1), (77, 4), (111, 1), (113, 2), (117, 1), (127, 2), (134, 1), (138, 1), (140, 1), (141, 1), (143, 1), (153, 1), (154, 1), (156, 1), (161, 2), (196, 1), (198, 1), (204, 1), (217, 1), (218, 2), (235, 1), (267, 1), (274, 1)]"
defendem,"[(1, 1), (24, 1), (29, 1), (44, 1), (118, 1), (131, 1), (146, 1), (220, 1)]"
direitos,"[(1, 1), (7, 1), (10, 1), (12, 2), (18, 2), (22, 1), (24, 1), (26, 1), (28, 2), (29, 2), (32, 2), (38, 2), (53, 2), (58, 1), (60, 1), (63, 2), (68, 3), (72, 4), (74, 4), (77, 1), (79, 1), (81, 1), (82, 2), (85, 1), (94, 2), (96, 2), (106, 1), (119, 1), (140, 1), (143, 1), (145, 1), (152, 1), (156, 1), (157, 1), (163, 1), (167, 1), (174, 4), (184, 1), (187, 1), (195, 18), (200, 1), (205, 1), (217, 4), (218, 6), (219, 1), (220, 3), (229, 1), (231, 1), (235, 1), (237, 1), (246, 5), (247, 1), (254, 3), (258, 1), (266, 1), (267, 1), (276, 1)]"
humanos,"[(1, 1), (10, 1), (12, 1), (26, 1), (28, 1), (29, 1), (60, 1), (63, 1), (68, 2), (72, 2), (74, 2), (77, 1), (79, 1), (81, 1), (85, 1), (94, 2), (96, 1), (119, 1), (143, 1), (156, 1), (161, 1), (174, 4), (176, 1), (184, 1), (187, 1), (195, 13), (217, 4), (218, 4), (220, 1), (237, 1), (246, 2), (247, 1), (254, 1), (263, 1), (266, 1), (267, 1), (276, 1)]"
realizadas,"[(1, 2), (112, 1), (156, 2), (273, 1), (274, 1)]"
consultados,"[(1, 1), (257, 1)]"
enviaram,"[(1, 1)]"
documentos,"[(1, 1), (32, 1), (95, 1), (177, 1), (188, 1), (207, 1), (214, 1), (236, 3), (239, 1), (240, 1)]"
conclusão,"[(1, 2), (10, 1), (103, 1), (257, 1)]"
animadora,"[(1, 1)]"
deparou,"[(1, 1)]"
sistema,"[(1, 1), (15, 1), (17, 4), (18, 1), (20, 2), (32, 2), (45, 1), (50, 1), (63, 1), (66, 4), (68, 1), (72, 4), (74, 2), (76, 1), (77, 1), (89, 1), (102, 1), (103, 1), (107, 1), (113, 1), (124, 1), (126, 1), (129, 2), (131, 3), (136, 1), (158, 2), (166, 4), (171, 3), (177, 4), (201, 1), (204, 1), (214, 3), (218, 1), (220, 1), (221, 1), (232, 4), (238, 2), (246, 6), (263, 1), (269, 1), (271, 4), (272, 1), (273, 1)]"
colapso,"[(1, 1), (4, 1), (6, 1)]"
total,"[(1, 1), (4, 2), (6, 1), (16, 3), (17, 1), (52, 1), (66, 1), (70, 1), (85, 1), (95, 5), (112, 1), (152, 1), (156, 1), (174, 1), (196, 1), (204, 1), (212, 1), (216, 2), (231, 2), (234, 1), (238, 1), (258, 1), (266, 1), (278, 1)]"
aumentando,"[(1, 1), (157, 1), (214, 1), (274, 1)]"
níveis,"[(1, 2), (77, 1), (81, 1), (162, 1), (196, 1), (205, 1), (208, 1), (220, 1), (269, 1)]"
mortalidade,"[(1, 2)]"
materna,"[(1, 1)]"
infantil,"[(1, 3), (66, 1), (160, 1), (179, 1)]"
propagação,"[(1, 1), (32, 1), (254, 2)]"
doenças,"[(1, 3), (32, 2), (68, 2), (104, 1), (163, 1), (216, 1)]"
evitáveis,"[(1, 1)]"
vacinação,"[(1, 1)]"
sarampo,"[(1, 1)]"
difteria,"[(1, 1)]"
aumento,"[(1, 1), (4, 1), (6, 1), (25, 1), (30, 1), (32, 1), (53, 4), (63, 1), (84, 4), (97, 1), (109, 2), (128, 1), (139, 3), (144, 2), (146, 1), (158, 2), (184, 2), (204, 1), (205, 1), (206, 2), (232, 1), (240, 1), (245, 5), (248, 1), (265, 1), (266, 2)]"
número,"[(1, 2), (4, 1), (7, 1), (12, 1), (17, 1), (18, 2), (24, 1), (30, 1), (63, 3), (79, 1), (100, 1), (104, 2), (109, 2), (115, 1), (124, 1), (135, 1), (137, 1), (139, 1), (144, 1), (150, 2), (153, 1), (154, 1), (164, 1), (165, 1), (167, 1), (186, 1), (192, 1), (205, 1), (206, 5), (220, 1), (224, 1), (231, 2), (238, 1), (239, 1), (240, 2), (257, 1), (261, 1), (266, 1)]"
infecciosas,"[(1, 1)]"
malária,"[(1, 1)]"
tuberculose,"[(1, 1)]"
embora,"[(1, 1), (24, 1), (26, 1), (37, 1), (59, 1), (63, 1), (69, 1), (73, 1), (91, 1), (96, 1), (107, 2), (118, 1), (124, 1), (127, 1), (130, 1), (137, 1), (198, 1), (205, 1), (210, 1), (218, 1), (225, 2), (228, 2), (246, 1), (249, 2), (254, 1), (257, 1), (258, 1), (261, 1), (263, 1), (272, 1), (274, 1)]"
parado,"[(1, 1), (89, 1)]"
publicar,"[(1, 1), (45, 1), (50, 1), (51, 1), (70, 1), (193, 1), (214, 1), (215, 1)]"
oficiais,"[(1, 1), (6, 1), (38, 1), (45, 1), (103, 1), (150, 1), (153, 1), (154, 1), (273, 1)]"
nutrição,"[(1, 1), (92, 1)]"
organizações,"[(1, 2), (5, 2), (26, 1), (34, 1), (77, 1), (82, 2), (87, 2), (91, 1), (96, 1), (111, 1), (127, 1), (161, 1), (177, 4), (196, 1), (217, 1), (218, 1), (237, 1), (245, 1), (247, 1), (254, 1)]"
universidades,"[(1, 1), (76, 1), (205, 1), (223, 3), (237, 1), (245, 2)]"
venezuelanas,"[(1, 1), (24, 1), (134, 1), (138, 1), (153, 1), (154, 1)]"
documentam,"[(1, 1)]"
altos,"[(1, 1), (103, 1), (146, 1), (156, 1), (157, 1), (170, 1), (204, 1), (205, 2), (245, 1), (247, 2)]"
insegurança,"[(1, 1), (246, 1), (257, 1)]"
alimentar,"[(1, 1), (90, 1), (127, 2), (197, 1), (218, 1), (248, 1), (262, 1)]"
